reviews,label
kemeja nya bagusss bgttttaaaa mauuu nngisssssknpa ga dri dlu beli kemeja ditoko ini ini kemejanya asli emg bagus bahannya jga adem ga gerahand ga nerawang jga itu krna camera nya jelek jdi ga trlalu jelas kemejanya asliny baguss bgttt ga bhong sumpah,1
jahitannya sih rapicuman ada benang yang ikut ke jahit juga jadi agak jelek,0
sesuai harga agak tipis tapi masih oke kok warnanya abu tapi kalo difoto emang kayak biru dikit thanks sellerr,0
wah gila sihhh sebagus itu se worth it se lembut itu bajunya kirain bakal terlalu tipis ky kemeja ku yg lama ternyata sedikit ky kaos bajunya baklgus bettt dah dgn harga segitu sih worth it thankyou yh next bakal order lgi,1
kain nya bagus halus tapi kok di bukak kotor ya warna putih lagi,0
baguss dehh dengan harga segitu kainnya juga ga tipis banget dan ga tebel banget kalo putih emang harus pake daleman biar ga nerawang bagussss pengiriman juga ga lama,1
harga mahal bahan tipis banget pengiriman lama tapi warna realpict maaf fotonya gak sesuai karena udah di cuci,0
puas bangett awalnya takut jelek soalnya buat foto yearbook ternyata pas dateng bagusss,1
agak kecewa sihh karna pesan warna fuschia malah datengnya pink mohon di teliti lagi dong kak,0
maaf tak kasi bintang karena tdk sesuai gambar digambar menutupi bokong ternyata pas nyampe pendek banget padahal saya gak tinggi tinggi banget cm pas pertama buka kancing lgsg lepas,0
baguss bgttt walau agak lama tapi setimpal dg barangnya besok beli lagi deh xixi,1
terimakasih bajunya udah sampai belum di coba juga cuma pengiriman nya aja yg lama,0
realpict bahan aga panas sesuai dengan harga pengemasan rapi pengiriman agak lama padahal cuma beda kota mungkin nunggu ready,0
bahannya bagus siiiii tapi kependekannnnnn agak kecewa soalnya emang lagi butuhhhh,0
lambat bngt anjir gak dateng,0
bahan ny tipisuntung ny milih wrn gelappas d badan,0
barang tak sesuai ekspektasi bahan berbeda dengan yg diinginkan dan contoh kurirnya juga gila ga nganter ke rumah disuruh ambil sendiri padahal milihnya sampe rumah bkn ambil sendiri,0
nyesel cuma belik harga segitu kainnya bagus banget gak bikin gerah aslikknyeselll next de beli lagi,1
ga tau mau bilang apa asli deh ini bagus banget guys harga e cuma rb aja padahal tapi kwalitas bagus polll bahanya jatuh gitu kek kemeja mahal padahal murah banget tapi kwalitas oke makasih seller fiks si ini bakal jadi langganan nyesel cuma beli nextime mau beli warnah hitam,1
sebagusss ini adem bahannya dengan hargaaa segituu jgn ragu ragu beli di toko ini buruan cek out thanks seller love love,1
trauma beli disinii bahan katanya katun pas asliinya kaya bahan yg bau bau gt dibadan bahanya kresek,0
uda nyampe lama si baru saya kasih penilaian kemeja harga segitu harusnya di murahin dikit si soalnya bahannya tipis panas dan menerawang karna warna putih tapi yasudahlah musti di dobel pake manset biar gk nerawang bgt,0
bahan nya lembut engga terlalu nerawang karna beli nya yg warna gelap ya tapi baguss lah di harga segitu,1
pengiriman sangat lama gak ada respon juga dari penjualnya bahannya juga tipis banget tapi ya lumayanlah,0
sumpaahhh baju rb sekeren iniiii gak ngerti lgi bener diluar ekspektasiibahannya tu bukan bahan abal gtuu adem gak kasar worth it lah pokoknyaa pasti koleksi warna lainnya nii thx ka,1
sumpah tipis banget kemeja nya terawang banget dan simpel kemeja biasa aja gitu terlalu mahal sih kalau harga sigitu,0
hem nya baguss bangettmo meninggoygak mengecewakan gak nyesel jugaharga e mantullll makasihhh udah dateng tepat waktuuadmin e fast respon bangett gedenya pas dibadan aku bb,1
adem bahannya ga terlalu tipis ga terlalu tebal jugaa,1
bajunya dasarnya kasar nggak soft jadi nggak menyerap keringat dan tipis nerawang juga,0
lmyan baguss bhanya bju putih emang harus pake daleman yaa ssukses terus seller terimakasih,1
ukurannya pas bahan gak terlalu panas makasih babang kurir,1
barang cepet bangetttt nyampenya gilaaaakkkkkk pesen kemarin pagi tadi sore nyampe tau aja klo urgent bahan lumayan kayanya agak nerawang dikit gapapa tinggal pake manset baju dan ada sedikit noda di kerahnyatapi gapapa overall okeelahh maciewwww seleerrrrrrrr,1
bahan alus tipis tapi sepertinya enggak nerawang kalo warna gelap pengiriman cepet recomended lah buat ganti,1
kecil brrrooo cm g segituentahlah harus komen apa kalo bahan tipis g masalah tapi ukurannya bukan,0
okesih cuma ketiaknya yg kekecilan buatku kayaknya mau ku jual lg,0
barangnya udh smpee pengemasan nyaa lamaa bgtt mngkin krn pengirimannya jg telat nyampee bahannya adem ga tebal ga tipis jgaa worth it to buy lah anw army nya lumayan gelap dr yg di foto yaa but ttp oke sih,0
bahann nya baguss pollgak terlalu merawanggak panas dipake jugathree betsss sukaa bangettt,1
bahanya kok tipis banget ya terus agak kaku kayak panas gitu tapi gak tau kalo udah di cuci ntar gimana,0
real picture tp ternyata kekecilan sama aku jadi gk bs makai duhh siapa yang mo beliii jual rugi ajalahhh,0
tdk real pick kecewa di tapi ya emang harganya sesuai minta slamet,0
ini pembelian ke di toko ini tapi kali ini agak kecewa karna baju yg warna putih nya kotor di bagian belakang sama depan nya juga terus yg baju putih kyknya lebih besar dari ukuran yg lain tapi masih bisa di pakai nanti klw noda nya bisa hilang bintangnya aku ubah lagi,0
baguss banget bahan ga terlalu tipis juga,1
pengiriman agak lama,0
bajunya kotor di bagian leher,0
kaka kerahnya ko bolong pengiriman jg agak lama,0
kecewabngaaaattkirain katun ternyata gkkayak kain kafan gitubahanya tidak jatuh,0
bahan lumayan dengan harga segitu cuman warna yang dikirim beda sma yang di foto pesan mocca tpi yang datang lebih gelap dari pada yang di foto malah kyak coklat pramuka,0
kedua kaliny beli kemeja dsni lembut bgt lumayan tebel jg pdhl hargany ga mahal,1
kecewa bahan y jelek panas warnanya juga gak sesuai ekspektasi kancing baju y gak sesuai foto emang ya ada harga ada rupa,0
kemejanya bagusss bangetttt nyesel sih cuma beli tp gapapa nanti order lagi hehe makasi seller yg sudah amanah mas kurir,1
bahan bagus adem dipake tebal jugaa cuma pengiriman agak lama tapi barang sangat puass,1
pengiriman lama dan kualitas produk sangat tipis nerawang mnyesal belanja d toko ini,0
keterangan di gambar panjang baju tapi ini cm sedikit kecewa,0
jelek bgttttttttnyeselbelinyabahanya tipiss bgt gk sesuai dgn ekspetasi,0
agak kecewa sih modelnya kaku banget kaya mau buat kerja training padahal di gambar buat casual gitu huh,0
kainnya sangat tipis dan kemejanya kekecilan pengirimannya lama banget nyesel bnget udh pesan,0
model tunik ini sangat cantik warnanya juga grey cantik harganya reasonable cuma pengirimannya lama banget its a good product though,1
pesanan baru nyamapai ni pengiriman lama hampir minggu bahannya jelek buat harga segini mahal dengan bahan yg sangat tipis,0
warna abu nya lebih gelap jd seperti wrn hitam untuk ukurannya termasuk kecil jd xxl seperti xl bahan nya tipis ga begitu tebal,0
bahannya adem dan bagus cuma salah kirim warna padahal pesen warna biru tapi dikirim warna grey untuk kurit anteraja ramah,0
trimksh sdh sampaibhn agk tipis tp lembut kirain akan sama warna abu muda seperti di pict ehhh datengnya abu gelap kalau seprti itu lain kali pictnya diganti biar yg beli g kecewa cuma saran aja sih karena ini mau dijual lagi yg satu ga jdi dibeli deh smga kdepnnya lbh baik,0
warna nya gak sesuai dengan yang di fototerlalu gelap,0
paket q uda sampe dgn selamat tp syng agak mengecewakan kok wrnny beda ya abu tua tu,0
agak kecewa sih bahan ny tipis bangat,0
lama nyampenya,0
warna nya jreng banget kirain sof atau ga jreng jdi ngeri mau make nya ga cocok di badan sama bingung pake celana wrna apa ga enk wrnanya mending ambil wrna lain deh klo mau beli jng ccho klo model nya mendingan la,0
ini warnanya lebih nyala tpi kalo difoto jadi gituu gk tau kenapaa trus kainnya licinn enak si kalo dipake aku sukaa cuma bingung stylenya jadi gimana soalnya lengannya cuma sampe depan siku ya agak panjang lah suka banget tpi jahitannya yang bgian dalem kurang rpi jadi mau dirapihin lagii,0
awalnya ragu karna harga yg begitu murah bgt dan liat komentnya positif bgt jadi sukaa and mau beli tpi takut nyesel karna suka bgt harga dan kualitas oke bgt so pertama kali beli langsung dan ²nya itu smuaa gada yg rusakbikin kecewa omgtt trims reseller dan kurir amanah bgttt,1
bahan oke hanya saja ekspektasi nya tuu lengannya tidak cantung gitu tapi ternyata cantung whehe,0
kecewa bnget,0
saya pesenya cardigan batwing bukan pasmina sangat kecewa,0
bajunya ada yang robek fatal bgt sumpah kecewa parah sama toko ini lain kali teliti lagi ya,0
baguss cuma bahannya tipis dn keset gitu lengannya jga trlalu pendek cuma sesiku doang sesuailah sama hargaa,0
saya sangat kecewasaya pesan hitam kok abu abu yg sampe lain kali teliti dong kaksoalnya itu punya orang bukan punya saya,0
kainnya mayan lah ukuran pas si badan tpy ada cacat sedikit bolong di bagian pundak untung g keliatan tpy gpp,0
yang dikirim cuma baju aja jilbabnya tdk adapadahal pesan jilbabnya juga,0
gilaaa inisih cardigan ternyaman enak banget buat pergi pergi,1
respon seller sangat buruk dichat baik gak ada balasan baik dichat mau ajukan pembatalan malah ditolak hari kemudian saat barang baru proses kirim baru ada respon sudah dikirim kai yaiyalah oiya di leher cardingannya cuttingannya aneh banget mending gausah ada bagian itu,0
cepet banget pengiriman nya padahal dari kudus jawa tengah ke bekasi cuma sehari doang sampe kaget seneng,1
gila bguss bngt thanksss pokonya bkl jdi langganan,1
aneh bajunya bikin emosi ga pas bgt d badan ngantung plus nyekek bgt d leher klok d pakek ke tarik dari lengannya pas d pakek bajunya nyesel bgt,0
dilengan pendek bngt and nerawang,0
terlalu kecillll,0
pengiriman lama,0
pesen cuma dikirim,0
ga sesuai motifnya beda banget sama yg di foto kancing yg notabene cuma hiasan aja ga lurus mengecewakan,0
bagus banget barangnya realpict pengiriman jg cepat sy kira lama krn review nya byk yg blg smpe mgu ternyata cepat makasih seller cuss beli lagi disini yg mau beli jgn ragu meskipun agak mahal tp barang mmg nggak murahan,1
pengiriman lama bgt dahh trs di gambar warnanya agak cream muda gitu pas nyampe warnanya malah putih dih,0
lihat di note nya sy mau bunga besar warna biru yg datang bunga kecil warna putih sy tidak tau anda tidak membaca note nya atau anda tau tapi diam saja tidak info asal main kirim saja,0
gila bagus bangettt ga nyesel stok tinggal cuss gw order makasih sucses terus ya,1
coraknya pas ga beda jauh sama yang di foto bahannya jatuh adem tipis tapi ga terlalu nerawang pas di banget di aku yang tingginya dan bbnya pengiriman agak lama tapi gapapa barang datang dengan selamat thank you,1
baju nya cantik ngak kecewa pokok nya bahan nya juga adem,1
kecepatan pengiriman nya lumayan lambat sih,0
lama di pengirimannya,0
kedua kalinya beli disini baguss kok meskipun gak ongkirrr kalo ke aku,1
bajunyaa baguuusss bangeettt di aku tangannya ga terlalu pendek pas deh pokoknya,1
maaf foto aga melenceng kemeja nya oke cuma kependekan di lengan bahan jga oke sukaa ama kemeja nya cuma di aku aga kekecilan hehe,1
pasti nya cantik bajunya udh dua kali kok order disini foto itu order baju yg pertama,1
baguss bgt asliii ga usah ragu² buat chekout gyss maap ga sempet ngefoto kemeja nya soalnya udah keburu dipake sma sppu,1
bajunya pendek bnget dan lengannya terlalu tinggi sy fikir jd gak bisa dipake buat pengguna hijab kainnya tipis bget dan terawang jahitan agak kasar,0
bahannya jatoh adem awalnya kok gede ternyata engga hihi maciw next order lagi,1
wkwkw kocak produk bajunya kurang sesuai dg yg di gambar tangannya lebih pendek gabisa gabilang aneh bgt ke ini baju,0
bagussss polll cuma emang model tangan nya jadi kayak keliatan bngtt,1
alhamdulilah udah sampai adem parah sih bahannya walaupun tangannya rada kegedean lengannya tp mungkin emang modelnya begitu sukakk,1
ketiga kalinya beli disini cuttingnya emang cocok bangett bikin keliatan kurus weyy cuma kok skrg harganya naik sih,1
pengirimann cepet banget sih bahnnnya adem rayon nya juga yang ngga terlalu tipis gitu sukaaaa bakal order lagi sih,1
plisss inimah nyesel beli doangggg bahannya adem pisan ngga gerah sama sekali cuy awalnya mikir bakal kegedean tpi malah jdi keliatan montok parah cpt bgt lgi sehari dah nyampe next beli lagi mau warna sage,1
baguss bangettt racun dari kak alda lengan ¾ model oversize,1
bagus banget langganan disini ga bosan bahan adem sejuk dan ga nerawang,1
ke xnya beli disini emang paling top harga murah tapi ya ga murahan kualitasnya,1
kereeeen nih bahan nya adem sempet salah beli di toko sebelah dengan model yg sama tapi beda bahan good seller recommended banget,1
ternyata warnanya gak sama kayak di foto warnanya lebih tua dari fotonya duh mdh cust aku gak kecewa,0
udah kali belanja disinidan selalu bagussbut untuk bahan yang kali ini lebih kasar aja siiyang kemarin bener² halus maybe harus di cuci dulu baru dapet wbahan yang halus,1
kedua kalinya beli disini emang ga pernah mengecewakan thanks seller,1
paketnya nyanpenya cepett banget biasanya haei paket ku baru nyampe eh yang ini cuma hari kemejanya juga bagus bahannya lembut ga terlalu tebel juga ga terlalu tipis worth it dengan harga segitu oh iya coksunya ga mirip pink itu mungkin karena pake flash jadi kayak mirip pink gitu,1
buagus bgt sihhh gila dengan harga segitu kainnya adem banget terus jatuh pula sukakk next mau beli lagi ahhh hehehehehehe,1
bagusss bangett recommended yg mau beli ditoko ini ga diragukan lagi ga ges yaa gudd muat di aku yg kg xixixi,1
bagus banget astagaaa kacau sih fix bgt nnti rebuy woeeeeee,1
bahan adem warna soft pokoknyaaa bagussss pollll dehhh udahh beli yang ke kalii juga karna emang sebagus ituu,1
beli yg keduakalinyaaa gapernah gagal tengkyuuu endorse akudongggg ahahaha,1
beli model kaya gini di toko cuma beda warna aja perbedaan bahan kelihatan bagus ini bahannya tidak merawang bahan langsung klihatan adem padahal sama bahan rayon,1
harga segini yah ttp worth itmau ber ekspetasi katun rayon di mall ya salah cm cutting an blakang kurang sinkronmiring gtu ga simetris,0
bajunya bgus bahannya adem jumbo juga ukurannya ternyata tangannya pendek baget tp gapapa baguss kok,1
bahannya super adem banget kainnya lemes gitu jatuh cmn ke gedean jadi makainya kayak ibu hamil,1
masyaallah cantiknya ga nyesel order disini makasi ya ka insyallah bakalan order yg warna lain bahannya ga terlalu tebal dan ga terlalu tipis sesuai harga tapi ku syukkaaaaa,1
bagus bajunya kainnya juga jatuh dingin lagi pokoknya gak rugi deh klo beli di sini bagusssssssssssssssssssssssss,1
bahan adem kualitas standar panjang lengan lebib pendek drpd perkiraan,1
sumpah bagus bangett bahannya adem pengirimannya juga cepet bgt sampe kaget kok udh sampe aja nggknyesel dan tidak mengecewakan mau order lg tp warna yg dipgn dh keburu habis,1
okeeeeeeeeeeeeeeeeeeeeeeeeeee bangettttt ga kecewa ih besok belanja sini lagi aja,1
adem bingitt bahannya sukaa deh sayangnya kurang panjang dikit tpi kualitas tetep okeeee kok,1
kemejanya bagusss bgt bahannya warnanya bener bener soft bgttt ga norak gt sihhh bahaannyaa juraaaaaaaa bgt,1
bagusss bgt kemejanya bs jadi outer juga lengannya ga terlalu pendek bahannya adem thank you,1
bahannya adem kain jatuh gtu ga panas dan ga bikin gerah sayangnya agak pendek di aku pasan di bawah pinggang dikit tapi sukaaa bngt,1
baguss bangetttt barang oriiginal tidak ada kerusakan di pesanan terimakasihh,1
ga kecewa dengan barang nya real pic banget dan adem di pake pas banget dengan cuaca panasmakasih kak,1
best banget ini mah nyesel yg model ini cuma pesen satu bahannya lembut syukaa pokoknya thanks seller insyaallah jadi langganan tapi pengiriman agak lambat menurutku,1
sukaaaa bangettttt bahannya ademmmmnnnn parah,1
bagus bahannya adem hanya saja modelnya kurang cocok untuk aku tapi bagus banget kok ini hanya masalah taste aja,1
cepet banget baru kemarin pesen hari ini langsung dateng bahan bagus rayon lengannya emang agak pendek tapi overal oke kok bagus,1
ga nyangka cepet bangettt sampenyaaa bahannya bagusss bangetadem dipakebener bener ga ngecewain nyesel cuma beli doangbakal beli lagi si,1
alhamdulillah barangnya bagus kalo masalah bahan terawang apa ngga setau saya sih bahan rayon tetep terawang mau harga mahal apa ngga tapi ini worth it sih menurutku dengan harga segitu,1
fix ini sih bgus parahmksh seller,1
bahan nya adem bangetlembut gak nyangka bakal sebagus ini warna nya juga gak norak,1
gila whorit bgt sumpah bahannya itu adem next bakal order disini,1
sudah kali beli disini next mau beli lagi krna emang sebagus itu,1
bahan bagus adem jatoh tapi rada kecewa aku minta warna lilac yang dikirim abu kecewa banget sih jd males kalo mau beli lagi teh,0
bagus bangetttttt bahannya adem dan ga nerawang best deh cuma masalah dipengiriman aja tapi overall good next bakal oder lagi,1
baju tipis agak nerawang untung warnanya item mungkin kalo warna laen lebih nerawang lagi kain agak kasar,0
bahannya adem ga terlalu tipis,1
baguss bgttbahan adem dn tebalga terlalu tipis,1
bahanya ga bikinn gerah jatuhh,1
cuma legan ke q kurang panjang dikit,0
nyesel beli cuma satu,1
bahannya panas terus nerawang bukan katun kaya yg sebelumnya aku pesan sedikit kecewa ihh,0
udah bbrapa kali beli di toko ini bahannya ga pernah mengecewakan adem bangetttt,1
bgaaaaaaaaus bangeeeet tauuukayak kemeja yang mahal gituuulembut banget lagiii ini ni bakalan order selalu si,1
rada jengkel sih sama pengirimannya agak lelet tp itukan dr pihak kurir ya bkn dr pihak owner untuk bajunya bagus bgtbahan adem trs jg ga nerawang pokoknya luvvv bgt ga nyesel thank you,1
i love it so much bahan rayon emng the best sih gk begitu tipis dan gk tebel juga adem parah suka bgt sama semuanya pasti bakal beli lagi disini warnanya cute parah gemoyyyyyy,1
kemaren tetangga yg beli malah keracunan dong emg sebagus itu gais kemejanya,1
pengirimannya cepet banget pesen sabtu pagi minggu siang sudah sampai bajunya juga lumayan lah oke untuk harga segitu gak terlalu menerawang baju putih emang wajar kalau menerawang bahannya juga flowyadem tapi ternyata panjang bajunya gak sepanjang yang aku bayangin wkwk tapi overall,1
bahan rayon sih emang adem yah cuma tangan y ngatung di aku pas dipake kaya lengan blm dicoba semoga gak kegedean thanks,0
bagooos nyesal cuma beli pengemasannua sehari doang the best sih,1
gak meragukan sih rekomend bgttt th u sellerrrr,1
thank youu ka kacamata nyaa udah sampee nihhh kualitas nyaa bagusss padahal harganya murahh walaupun rada kebesaran tp emg muka aku kecil sih tp gpp aku puasss,1
kualitas produk sangat baik real pict cuma pengirimannya agak lama tpi okelahh dengan harga segitu,1
ternyata tipisjadi nya ringkih yg putih kaca nya retakeh yg ini juga kerangka nyabpatahjadi nya kaca nya lepaspas di buka packing nya kaca nya lepasmungkin karna tertumpuk jadi pas di expedisi nya padahal udah pake buble,0
dari yg di beli kaca nya copot varian model nya juga tidak sesuai orderan sebenarnya kecewa walaupun harga murah masa iya jadi rugi karena kacamata tdk bisa d pakai semoga lain kali lebih teliti dalam mengirimkan barang mau kasi bintang cuma ga tega,1
kacamatanya kurang gelap aku maunya yg gelap kacamatanya dibawa sama adek jadi gak bisa difoto makasih yaaa,0
bagussss kacamatanyaa mewah yaa kayak mahal banget gt tebel juga dan no kaleng laaahh,1
kaca mata yang dateng bagus banget harga segitu kacamata kelihatan mahal gak bakal nyesel beli kacamata ini yang ada bakal order lagi,1
pengirimanpengemasan lumayan cepet harga murceeee bgt tp keliatan kek mahal model nya bagusss thank u,1
sebenernya gak ada yang rusak sih cuman kaca nya gede banget terus kaya beda samaa gambar nya pengiriman nya lama hhe tapi gak papa makasihh,0
kacamata nya kerennn bangetttt aku sukaa ditambah kekecewaan badaiii bakal jadi langganan ni,1
kacamatanya dalam keadaan bagus cuma gagangnya agak longgar dikit yang sebelah tapi oke kok,0
mantapp tidak perlu diragukan lagi beli disini pertahankann,1
saya order kacamata gm black pcs datangnya yang bener cuma pcs sajayang pcs tanpa bungkus dan pcs lagi gak tau itu model apayang jelas bukan gm padahal selalu repeat order lusinan disini satu lagi dulu bungkusnya selalu gentle monster tapi sekarang gentle mustangtolong next di chek lg,0
sy pesan yg titiknya kok dikirim yg titik klo emang stok gak ada kan bisa bilang ke sy ini malah kirim sesuka hati padahal aku udah langganan disni udah banyak kali belanja ko kali ini mengecewakan banget,0
alhamdulillah guys berkali kali order ngga kecewa dengan harga yang gila bangetttt lebih miring dari toko lain tengkyu yah kak lancar selalu bakal langganan kak,1
ternyata sma kaya si gentle mustang coba tau beli satu aja tingkatkan lagi packingnya bilangnya di live free bubble wrap ternyata dtang cuma pake plastik hitam untung saja tdk ada yg pecah kacamatanya,0
paket sudah sampai selalu langganan disini sudah sejak lama terimakasih seller,1
terimakasih paket baru saja datang stelah pengiriman lama tapi untung nya sampe sebelum lebaran over all smua barang baguss pengemasan oke,1
baguss bangetttt bubble wrap tebel jugaa pembelian pertama langsung dua ga mengecewakan makasihh,1
tokonya barangnya adkinnya emang top banget dikaish buble warp juga padahal gal beli makasih banget,1
sudah sampai barangnya terimakasih seller walaupun lama pengemasannya,1
penantian yang panjang ya agak lama pengirimannya packingnya kebuka gak tau kenapa udah kek gitu tapi untung gda barang yang ilang,0
lama sampeknya pdahal ket bukan dr luar negri sampe kesel sensiri nunggunya,0
kacamatanya baguuuss bgt dgn harga semurah ituu gg kalah sama kacamata yg mahal thanks seller dan shoppe,1
pengiriman lama admin respon lama kualitas produk standar,0
suka bgt brngnya oke walaupun salah satu brngnya ada yg salah oke lah saya terima tapi yang lain oke bgt,1
mendarat dengan sempurna barangnya bagus ga mengecewakan terimakasih yaaa,1
sumpah kece parah sih ini kacamatanya gak nyesel dah beli,1
mantull lahh untuk harga seginii hihi mantapp semoga tahan lama yaa pengiriman standar kacamatanya juga baguss kok worth it lahh,1
bagussss cuma pengiriman lamaaaaaaaaaa tapi bagusssssssss,1
bagus kacamatanya tapi sayaang pas dateng ke rumah kondisi tangkai kacamata sudah patah tapi mau gimana lagi hanya satu yang cacat besok pesen lagi aja,0
ngk tau udah order berapa kali di toko ini pokoknya the best ngk pernah kecewa kalo pesan di toko ini,1
oke banget aku syukaaaa dari segi pengiriman aja sih agak lambat ga kya biasanya tapi pas liat barangnya kereeen dech pokonya harga murce udh dapat kacamata kece badaii,1
bagusssssss bangetttttttttt woiiiiiiiiiiii worth it parah si pas dimuka aku bikin nambah kekerenanya,1
parah kece beuddddm murmerrr murah tapi gak murahannn kece badai parahhhh parah prahhh,1
saya pesan tapi kok yang datang cuma satu ya,0
kacamatanya yg di ksh kok gk ada lambangnya ya trs kliatan murahan amat,0
pesen yang dikirim doang respon penjual lama banget minta pengembalian dana gk di respon,0
kacamata nya ngga ada padahal pembayaran full dan bukan harganya tp tanggung jawabnya sebagai pelapak di chat ga d bales,0
real pictcumannn pengiriman agak lama sihhhhh huhuuuu,0
bagus sukakkkkkk pengirimannya cepet cuma dari pihak ekspedisi nya aja yg lama,1
